datetime_ist,timestamp,open,high,low,close,volume
2024-12-03 09:30:00+05:30,1733198400,846.65,853.6,845.7,851.7,2642136
2024-12-03 10:30:00+05:30,1733202000,851.9,856.55,851.7,854.95,2368656
2024-12-03 11:30:00+05:30,1733205600,854.95,856.0,851.45,853.2,1141352
2024-12-03 12:30:00+05:30,1733209200,853.35,854.5,852.65,853.25,754212
2024-12-03 13:30:00+05:30,1733212800,853.6,854.85,852.8,853.85,1201988
2024-12-03 14:30:00+05:30,1733216400,854.0,854.9,852.4,853.5,2695215
2024-12-03 15:30:00+05:30,1733220000,853.95,853.95,853.95,853.95,3148
2024-12-04 09:30:00+05:30,1733284800,854.0,859.0,853.35,856.0,1688342
2024-12-04 10:30:00+05:30,1733288400,856.0,857.8,854.7,856.85,713257
2024-12-04 11:30:00+05:30,1733292000,856.85,857.75,850.3,854.05,1146144
2024-12-04 12:30:00+05:30,1733295600,854.3,859.5,852.55,858.65,1145808
2024-12-04 13:30:00+05:30,1733299200,858.85,864.0,858.75,860.4,2448774
2024-12-04 14:30:00+05:30,1733302800,860.55,861.75,858.2,858.55,3028215
2024-12-04 15:30:00+05:30,1733306400,858.55,859.7,858.55,859.7,5964
2024-12-05 09:30:00+05:30,1733371200,859.25,865.65,856.7,861.2,1562805
2024-12-05 10:30:00+05:30,1733374800,861.2,861.5,856.0,856.9,1005676
2024-12-05 11:30:00+05:30,1733378400,856.9,870.0,855.6,867.3,2780873
2024-12-05 12:30:00+05:30,1733382000,867.35,868.85,865.2,865.75,973803
2024-12-05 13:30:00+05:30,1733385600,866.0,870.5,865.7,870.25,2052292
2024-12-05 14:30:00+05:30,1733389200,870.5,871.45,860.05,864.25,5730386
2024-12-05 15:30:00+05:30,1733392800,865.45,865.45,865.45,865.45,2523
2024-12-06 09:30:00+05:30,1733457600,863.4,875.0,857.1,874.5,4481596
2024-12-06 10:30:00+05:30,1733461200,874.65,875.25,865.6,866.15,3349488
2024-12-06 11:30:00+05:30,1733464800,866.2,870.0,864.6,865.5,1288563
2024-12-06 12:30:00+05:30,1733468400,865.35,868.0,864.7,866.0,842083
2024-12-06 13:30:00+05:30,1733472000,866.15,867.3,864.85,864.85,883932
2024-12-06 14:30:00+05:30,1733475600,864.8,865.75,862.45,862.95,2856172
2024-12-06 15:30:00+05:30,1733479200,863.65,863.65,863.65,863.65,1909
2024-12-09 09:30:00+05:30,1733716800,864.55,865.75,859.15,860.7,1624238
2024-12-09 10:30:00+05:30,1733720400,861.0,866.5,859.5,865.45,1128013
2024-12-09 11:30:00+05:30,1733724000,865.6,866.25,863.65,864.2,1119959
2024-12-09 12:30:00+05:30,1733727600,864.15,864.5,860.45,860.65,1313643
2024-12-09 13:30:00+05:30,1733731200,860.5,861.15,858.0,858.6,1075490
2024-12-09 14:30:00+05:30,1733734800,858.55,859.5,857.0,858.2,2586084
2024-12-09 15:30:00+05:30,1733738400,858.05,858.05,858.05,858.05,3061
2024-12-10 09:30:00+05:30,1733803200,858.9,862.8,858.8,860.75,838595
2024-12-10 10:30:00+05:30,1733806800,860.75,864.3,859.2,862.5,809106
2024-12-10 11:30:00+05:30,1733810400,862.4,863.45,860.9,862.4,665109
2024-12-10 12:30:00+05:30,1733814000,862.4,862.4,860.0,861.75,374989
2024-12-10 13:30:00+05:30,1733817600,862.0,864.8,861.25,864.8,1169563
2024-12-10 14:30:00+05:30,1733821200,864.85,868.9,864.2,868.3,2850561
2024-12-10 15:30:00+05:30,1733824800,867.5,867.5,867.5,867.5,3677
2024-12-11 09:30:00+05:30,1733889600,866.6,869.7,865.3,868.5,986835
2024-12-11 10:30:00+05:30,1733893200,868.7,868.7,865.45,867.95,927472
2024-12-11 11:30:00+05:30,1733896800,867.95,869.0,863.5,864.05,1124447
2024-12-11 12:30:00+05:30,1733900400,864.2,864.5,861.85,862.35,953445
2024-12-11 13:30:00+05:30,1733904000,862.35,863.45,861.15,861.65,872882
2024-12-11 14:30:00+05:30,1733907600,861.65,863.5,861.0,861.8,1656806
2024-12-11 15:30:00+05:30,1733911200,861.6,861.6,861.6,861.6,5122
2024-12-12 09:30:00+05:30,1733976000,862.0,862.0,855.6,856.5,1030364
2024-12-12 10:30:00+05:30,1733979600,856.65,857.0,852.35,854.0,1139175
2024-12-12 11:30:00+05:30,1733983200,854.0,856.6,851.3,852.95,1231443
2024-12-12 12:30:00+05:30,1733986800,852.9,854.65,852.0,854.0,1178853
2024-12-12 13:30:00+05:30,1733990400,854.0,854.7,851.15,852.45,1493629
2024-12-12 14:30:00+05:30,1733994000,852.4,854.5,851.45,853.4,2354600
2024-12-12 15:30:00+05:30,1733997600,853.4,853.7,853.4,853.7,824
2024-12-13 09:30:00+05:30,1734062400,848.3,848.65,839.0,839.8,1598352
2024-12-13 10:30:00+05:30,1734066000,839.95,842.85,835.05,842.0,1231229
2024-12-13 11:30:00+05:30,1734069600,842.0,854.5,841.0,852.55,1517246
2024-12-13 12:30:00+05:30,1734073200,852.6,856.35,848.55,854.9,994382
2024-12-13 13:30:00+05:30,1734076800,855.0,860.65,853.5,860.2,1111094
2024-12-13 14:30:00+05:30,1734080400,860.05,862.9,859.5,861.9,2337290
2024-12-13 15:30:00+05:30,1734084000,861.55,861.55,861.55,861.55,1141
2024-12-16 09:30:00+05:30,1734321600,859.2,866.4,857.8,861.3,1298635
2024-12-16 10:30:00+05:30,1734325200,861.3,862.65,858.6,861.5,991083
2024-12-16 11:30:00+05:30,1734328800,861.5,863.45,859.05,859.35,984081
2024-12-16 12:30:00+05:30,1734332400,859.35,863.0,859.05,861.55,594701
2024-12-16 13:30:00+05:30,1734336000,861.55,862.8,860.35,860.55,711412
2024-12-16 14:30:00+05:30,1734339600,860.7,862.6,860.05,860.65,1499064
2024-12-16 15:30:00+05:30,1734343200,860.95,860.95,860.95,860.95,459
2024-12-17 09:30:00+05:30,1734408000,860.8,861.9,855.65,856.55,1104262
2024-12-17 10:30:00+05:30,1734411600,856.55,859.5,854.1,855.6,877097
2024-12-17 11:30:00+05:30,1734415200,855.65,855.95,849.75,852.75,1543794
2024-12-17 12:30:00+05:30,1734418800,852.75,854.25,848.8,849.4,1086388
2024-12-17 13:30:00+05:30,1734422400,849.5,851.0,847.05,847.55,1189499
2024-12-17 14:30:00+05:30,1734426000,847.25,852.6,847.25,849.8,2617403
2024-12-17 15:30:00+05:30,1734429600,850.55,850.55,850.55,850.55,912
2024-12-18 09:30:00+05:30,1734494400,845.6,850.25,843.15,843.95,880557
2024-12-18 10:30:00+05:30,1734498000,843.9,846.7,840.4,842.4,688412
2024-12-18 11:30:00+05:30,1734501600,842.4,844.7,840.0,840.0,1083089
2024-12-18 12:30:00+05:30,1734505200,840.25,843.4,837.4,839.3,1431208
